Date,Open,High,Low,Close,Adj Close,Volume,M_Y_Date
1/29/2014,177.580002,178.550003,176.880005,177.350006,160.618362,216597300,1-2014
1/30/2014,178.830002,179.809998,178.259995,179.229996,162.32103,118938100,1-2014
1/31/2014,177.009995,179.289993,176.919998,178.179993,161.370056,194677900,1-2014
2/3/2014,177.970001,178.369995,173.830002,174.169998,157.738373,254837100,2-2014
2/4/2014,174.949997,175.839996,174.110001,175.389999,158.843277,165012400,2-2014
2/5/2014,174.779999,175.559998,173.710007,175.169998,158.644043,164230500,2-2014
2/6/2014,175.580002,177.479996,175.220001,177.479996,160.736115,132877600,2-2014
2/7/2014,178.309998,179.869995,177.729996,179.679993,162.728561,170787200,2-2014
2/10/2014,179.699997,180.070007,179.210007,180.009995,163.027405,92218800,2-2014
2/11/2014,180.160004,182.440002,180.039993,181.979996,164.811554,117814100,2-2014
2/12/2014,182.25,182.830002,181.710007,182.070007,164.893066,94717700,2-2014
2/13/2014,180.839996,183.199997,180.830002,183.009995,165.744354,100542200,2-2014
2/14/2014,182.839996,184.360001,182.669998,184.020004,166.659103,96498400,2-2014
2/18/2014,184.179993,184.490005,183.649994,184.240005,166.858337,80460900,2-2014
2/19/2014,183.759995,184.949997,182.869995,183.020004,165.753448,126524300,2-2014
2/20/2014,183.270004,184.520004,182.600006,184.100006,166.731537,104998100,2-2014
2/21/2014,184.449997,184.889999,183.800003,183.889999,166.541351,118116400,2-2014
2/24/2014,184.279999,186.149994,184.199997,184.910004,167.465149,114063900,2-2014
2/25/2014,185.059998,185.589996,184.229996,184.839996,167.401733,117085000,2-2014
2/26/2014,185.110001,185.600006,184.330002,184.850006,167.410782,98677200,2-2014
2/27/2014,184.580002,185.869995,184.369995,185.820007,168.289276,93880800,2-2014
2/28/2014,185.789993,187.149994,185.050003,186.289993,168.71492,150842000,2-2014
3/3/2014,184.649994,185.449997,183.75,184.979996,167.528534,167748500,3-2014
3/4/2014,186.789993,187.979996,186.75,187.580002,169.88324,167545900,3-2014
3/5/2014,187.740005,188.070007,187.449997,187.75,170.037186,88376900,3-2014
3/6/2014,188.210007,188.610001,187.779999,188.179993,170.42662,82516500,3-2014
3/7/2014,188.960007,188.960007,187.429993,188.259995,170.4991,114513500,3-2014
3/10/2014,187.970001,188.229996,187.080002,188.160004,170.408493,74939200,3-2014
3/11/2014,188.440002,188.710007,186.800003,187.229996,169.566254,99009100,3-2014
3/12/2014,186.320007,187.350006,185.899994,187.279999,169.611542,104824400,3-2014
3/13/2014,187.839996,187.990005,184.660004,185.179993,167.709656,155014300,3-2014
3/14/2014,184.850006,185.800003,184.440002,184.660004,167.238724,153919600,3-2014
3/17/2014,185.589996,186.770004,185.509995,186.330002,168.75116,98359500,3-2014
3/18/2014,186.710007,187.910004,186.509995,187.660004,169.955658,101804600,3-2014
3/19/2014,187.679993,187.940002,185.470001,186.660004,169.050003,176267300,3-2014
3/20/2014,186.25,187.889999,185.919998,187.75,170.037186,117241000,3-2014
3/21/2014,187.710007,189.020004,186.029999,186.199997,169.377365,163128000,3-2014
3/24/2014,186.839996,187.070007,184.619995,185.429993,168.676895,121411000,3-2014
3/25/2014,186.369995,186.940002,185.270004,186.309998,169.477402,103852000,3-2014
3/26/2014,187.039993,187.339996,184.919998,184.970001,168.258484,119843000,3-2014
3/27/2014,184.75,185.339996,183.899994,184.580002,167.903732,142383000,3-2014
3/28/2014,185.110001,186.419998,185,185.490005,168.731522,101642000,3-2014
3/31/2014,186.669998,187.300003,185.520004,187.009995,170.114197,99745000,3-2014
4/1/2014,187.619995,188.360001,187,188.25,171.242111,89193000,4-2014
4/2/2014,188.490005,189.130005,188.139999,188.880005,171.815216,78774000,4-2014
4/3/2014,189.169998,189.220001,188.050003,188.630005,171.587814,77435000,4-2014
4/4/2014,189.660004,189.699997,186.100006,186.399994,169.559265,169381000,4-2014
4/7/2014,185.949997,186.259995,183.960007,184.339996,167.68541,140803000,4-2014
4/8/2014,184.259995,185.399994,183.589996,185.100006,168.37674,112660000,4-2014
4/9/2014,185.600006,187.149994,185.059998,187.089996,170.186935,100254000,4-2014
4/10/2014,187.080002,187.169998,182.929993,183.160004,166.612015,172959000,4-2014
4/11/2014,182.139999,183.419998,181.309998,181.509995,165.111084,167251000,4-2014
4/14/2014,182.929993,183.369995,181.440002,182.940002,166.411865,132382000,4-2014
4/15/2014,183.320007,184.330002,181.509995,184.199997,167.55806,157093000,4-2014
4/16/2014,185.470001,186.139999,184.649994,186.130005,169.31369,105197000,4-2014
4/17/2014,185.880005,186.910004,185.559998,186.389999,169.550186,105255000,4-2014
4/21/2014,186.440002,187.100006,186.210007,187.039993,170.141434,68329000,4-2014
4/22/2014,187.229996,188.399994,187.130005,187.889999,170.914658,85790000,4-2014
4/23/2014,187.820007,187.919998,187.300003,187.449997,170.514404,73869000,4-2014
4/24/2014,188.369995,188.389999,186.929993,187.830002,170.860107,88170000,4-2014
4/25/2014,187.220001,187.330002,185.869995,186.289993,169.459213,100380000,4-2014
4/28/2014,187.050003,187.690002,184.960007,186.880005,169.995926,135121000,4-2014
4/29/2014,187.479996,188.039993,187.080002,187.75,170.787308,84098000,4-2014
4/30/2014,187.440002,188.5,187.179993,188.309998,171.296707,101508000,4-2014
5/1/2014,188.220001,188.839996,187.729996,188.330002,171.314911,93019000,5-2014
5/2/2014,188.309998,189.139999,187.779999,188.059998,171.069305,98122000,5-2014
5/5/2014,187.139999,188.550003,186.619995,188.419998,171.396774,75883000,5-2014
5/6/2014,188,188.130005,186.740005,186.779999,169.904984,85454000,5-2014
5/7/2014,187.410004,187.970001,186.009995,187.880005,170.905563,106500000,5-2014
5/8/2014,187.710007,189.050003,187.080002,187.679993,170.723648,93618000,5-2014
5/9/2014,187.710007,188.039993,186.830002,187.960007,170.978333,83679000,5-2014
5/12/2014,188.800003,189.880005,188,189.789993,172.643005,86940000,5-2014
5/13/2014,190.039993,190.419998,189.770004,189.960007,172.797668,66454000,5-2014
5/14/2014,189.789993,189.880005,188.789993,189.059998,171.978973,72367000,5-2014
5/15/2014,188.679993,188.720001,186.479996,187.399994,170.468948,154956000,5-2014
5/16/2014,187.509995,188.130005,186.720001,188.050003,171.060226,97458000,5-2014
5/19/2014,187.690002,188.889999,187.520004,188.740005,171.687866,63839000,5-2014
5/20/2014,188.649994,188.669998,187.070007,187.550003,170.605392,111644000,5-2014
5/21/2014,188.089996,189.220001,188.059998,189.130005,172.042618,89093000,5-2014
5/22/2014,189.179993,189.979996,188.860001,189.589996,172.46109,61549000,5-2014
5/23/2014,189.759995,190.479996,189.589996,190.350006,173.152451,61092800,5-2014
5/27/2014,191.059998,191.580002,190.949997,191.520004,174.216705,72010000,5-2014
5/28/2014,191.520004,191.820007,191.059998,191.380005,174.089371,66723000,5-2014
5/29/2014,191.820007,192.399994,191.330002,192.369995,174.989929,64377000,5-2014
5/30/2014,192.190002,192.800003,192.029999,192.679993,175.271881,76316000,5-2014
6/2/2014,192.949997,192.990005,191.970001,192.899994,175.472046,64656000,6-2014
6/3/2014,192.429993,192.899994,192.25,192.800003,175.381058,65047000,6-2014
6/4/2014,192.470001,193.300003,192.270004,193.190002,175.73584,55529000,6-2014
6/5/2014,193.410004,194.649994,192.699997,194.449997,176.882004,92103000,6-2014
6/6/2014,194.869995,195.429993,194.779999,195.380005,177.727966,78696000,6-2014
6/9/2014,195.350006,196.050003,195.169998,195.580002,177.909943,65119000,6-2014
6/10/2014,195.339996,195.639999,194.919998,195.600006,177.928085,57129000,6-2014
6/11/2014,194.899994,195.119995,194.479996,194.919998,177.309509,68772000,6-2014
6/12/2014,194.690002,194.800003,193.110001,193.539993,176.05423,106350000,6-2014
6/13/2014,193.919998,194.320007,193.300003,194.130005,176.590912,82017000,6-2014
6/16/2014,193.889999,194.699997,193.660004,194.289993,176.73642,87424000,6-2014
6/17/2014,194.020004,194.970001,193.809998,194.830002,177.227646,84834000,6-2014
6/18/2014,194.830002,196.369995,194.399994,196.259995,178.528442,105267000,6-2014
6/19/2014,196.429993,196.600006,195.800003,196.479996,178.728561,85929000,6-2014
6/20/2014,196.029999,196.100006,195.699997,195.940002,179.091171,100587000,6-2014
6/23/2014,195.990005,196.050003,195.520004,195.880005,179.036316,70611000,6-2014
6/24/2014,195.529999,196.5,194.479996,194.699997,177.957779,96237000,6-2014
6/25/2014,194.289993,195.779999,194.25,195.580002,178.762161,82782000,6-2014
6/26/2014,195.610001,195.630005,194.130005,195.440002,178.634155,84312000,6-2014
6/27/2014,194.979996,195.880005,194.889999,195.820007,178.981506,71445100,6-2014
6/30/2014,195.699997,196.169998,195.529999,195.720001,178.890091,70201200,6-2014
7/1/2014,196.199997,197.630005,196.130005,197.029999,180.087402,90470000,7-2014
7/2/2014,197.050003,197.479996,196.960007,197.229996,180.270218,52475000,7-2014
7/3/2014,197.789993,198.289993,197.639999,198.199997,181.15683,52938800,7-2014
7/7/2014,197.820007,197.979996,197.220001,197.509995,180.526169,61696000,7-2014
7/8/2014,197.149994,197.220001,195.759995,196.240005,179.365341,108143000,7-2014
7/9/2014,196.729996,197.300003,196.309998,197.119995,180.169693,72992000,7-2014
7/10/2014,195.220001,196.860001,195.059998,196.339996,179.456741,99040000,7-2014
7/11/2014,196.220001,196.75,195.779999,196.610001,179.703598,64243000,7-2014
7/14/2014,197.610001,197.860001,197.440002,197.600006,180.608429,58658000,7-2014
7/15/2014,197.720001,198.100006,196.360001,197.229996,180.270218,111307000,7-2014
7/16/2014,198.110001,198.259995,197.419998,197.960007,180.937454,79986400,7-2014
7/17/2014,197.350006,198.100006,195.429993,195.710007,178.880951,145398000,7-2014
7/18/2014,196.350006,197.910004,196.240005,197.710007,180.708939,124330000,7-2014
7/21/2014,197.089996,197.5,196.429993,197.339996,180.370758,67592000,7-2014
7/22/2014,198.009995,198.559998,197.869995,198.199997,181.15683,67678000,7-2014
7/23/2014,198.5,198.850006,198.100006,198.639999,181.55899,65612000,7-2014
7/24/2014,198.830002,199.059998,198.449997,198.649994,181.5681,56888000,7-2014
7/25/2014,198.089996,198.259995,197.330002,197.720001,180.718124,76837000,7-2014
7/28/2014,197.759995,198.089996,196.619995,197.800003,180.791229,69259000,7-2014
7/29/2014,198.169998,198.449997,196.919998,196.949997,180.014328,80466000,7-2014
7/30/2014,197.649994,197.910004,196.160004,196.979996,180.041748,104222000,7-2014
7/31/2014,195.610001,195.779999,192.970001,193.089996,176.486221,183479000,7-2014
8/1/2014,192.559998,193.759995,191.570007,192.5,175.946991,189261000,8-2014
8/4/2014,192.869995,194.300003,192.050003,193.889999,177.217468,91340000,8-2014
8/5/2014,193.100006,193.600006,191.309998,192.009995,175.499084,152690000,8-2014
8/6/2014,191.110001,192.889999,191.080002,192.070007,175.553925,94818000,8-2014
8/7/2014,192.940002,193.130005,190.550003,191.029999,174.603363,135733000,8-2014
8/8/2014,191.460007,193.369995,190.949997,193.240005,176.623322,117014000,8-2014
8/11/2014,193.970001,194.660004,193.710007,193.800003,177.135208,74544000,8-2014
8/12/2014,193.610001,194.149994,192.940002,193.529999,176.888382,73632000,8-2014
